"Kod";"Nazwa";"Płeć";"Kraj obywatelstwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"bezpaństwowcy";"2011";218;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"obywatelstwo nieustalone";"2011";1189;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Arabia Saudyjska";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Armenia";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Austria";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Białoruś";"2011";195;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Bułgaria";"2011";155;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Chiny";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Czechy";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Francja";"2011";131;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Grecja";"2011";229;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Hiszpania";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Holandia";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Indie";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Japonia";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Kazachstan";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Litwa";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Mongolia";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Niemcy";"2011";681;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Rosja";"2011";217;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Rumunia";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Serbia";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Stany Zjednoczone";"2011";134;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Szwecja";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Turcja";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Ukraina";"2011";1538;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Węgry";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Wielka Brytania";"2011";108;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Wietnam";"2011";0;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"Włochy";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"bezpaństwowcy";"2011";69;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"obywatelstwo nieustalone";"2011";339;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Arabia Saudyjska";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Armenia";"2011";159;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Austria";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Białoruś";"2011";105;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Bułgaria";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Chiny";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Czechy";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Francja";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Grecja";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Hiszpania";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Holandia";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Indie";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Japonia";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Kazachstan";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Litwa";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Mongolia";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Niemcy";"2011";167;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Rosja";"2011";176;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Rumunia";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Serbia";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Stany Zjednoczone";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Szwecja";"2011";0;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"Turcja";"2011";0;"osoba";"";
